keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#thaileague,th,Thai League Thailand,@thaileague_th,2022-03-31 05:59:53+00:00,,"🔥 | ขยับขึ้น 2 อันดับ !!

🇹🇭 | เพจฟุตบอลอาเซียน คาดการณ์ถึงอันดับในชาติอาเซียน หลังผ่าน ฟีฟ่า เดย์ เดือนมีนาคม ซึ่ง ทีมชาติไทย ถูกมองว่าอันดับโลกจะเพิ่มขึ้น 2 อันดับ จากเดิม 112 มาเป็น 110 ของโลก รั้งอันดับ 2 ในอาเซียน

#thaileague_th #Changsuek #FAThailand #Thailand #ThaiLeague https://t.co/6bfs0gORBx",/thaileague_th/Changsuek/FAThailand/Thailand/ThaiLeague,1,0,1,31/03/2022,05:59,neutral
#thaileague,en,Clinton Moore คลินตัน มอร์,@clintonjlmoore,2022-03-31 16:06:53+00:00,"Bangkok, Thailand","Most expensive ticket to watch Man United in Melbourne ($229 AUD) is close to cheapest to watch Man United in #Bangkok ($200 AUD). Cheapest ticket in Melbourne is $79 AUD (1,970 THB). Yes that's right. I will pass thank you and more than happy to spend my baht on the #ThaiLeague. https://t.co/vHMtxcnKoC",/Bangkok/ThaiLeague,1,0,0,31/03/2022,16:06,positive
