keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#thaileague,th,Thai League Thailand,@thaileague_th,2022-04-23 16:15:17+00:00,,"🔥 | อัพเดท !! ผลการแข่งขันวันนี้

⛔️ | หนองบัวพิชญ เอฟซี เสมอ ราชบุรี มิตรผล เอฟซี (1-1)
❌ | ชลบุรี เอฟซี แพ้ นครราชสีมา มาสด้า เอฟซี (1-2) 
⛔️ | โปลิศ เทโร เอฟซี เสมอ พีที ประจวบ เอฟซี (0-0)

#thaileague_th #ThaiLeague https://t.co/axULlXzBdf",/thaileague_th/ThaiLeague,1,0,3,23/04/2022,16:15,neutral
#thaileague,th,ข่าวกีฬา Thai League,@ThaiLeague168,2022-04-23 15:36:05+00:00,,"📢 𝐅𝐮𝐥𝐥-𝐓𝐢𝐦𝐞
⚽️ ศึกฟุตบอล #𝐑𝐄𝐕𝐎𝐓𝐇𝐈𝐋𝐄𝐀𝐆𝐔𝐄
📌 ฤดูกาล 2021-22 
🗓 วันเสาร์ที่ 23 เม.ย. 65 
------------------------
#รีโวไทยลีก #ThaiLeague #ไทยลีก #ฟุตบอลไทยลีก #COPA88 https://t.co/L2xQ8GpPXZ",/𝐑𝐄𝐕𝐎𝐓𝐇𝐈𝐋𝐄𝐀𝐆𝐔𝐄/รีโวไทยลีก/ThaiLeague/ไทยลีก/ฟุตบอลไทยลีก/COPA88,1,0,0,23/04/2022,15:36,neutral
#thaileague,th,ข่าวกีฬา Thai League,@ThaiLeague168,2022-04-23 10:37:13+00:00,,"อ้ายมาสองคน ""AFC Champions League"" ใส่ชื่อ ""วรชิต - ปฐมพล"" สองแข้งไทย จากสโมสร ""บีจี ปทุม ยูไนเต็ด"" เป็นท็อป 5 นักเตะยอดเยี่ยม ในศึก ACL 2022 รอบแบ่งกลุ่ม นัดที่ 3
------------------
#Thaileague2021 #ACL #ACL2022 #ACL #RevoThaileague #ThaiLeague #ฟุตบอลไทย #บอลไทย #COPA88 https://t.co/xsj9WZT9X0",/Thaileague2021/ACL/ACL2022/ACL/RevoThaileague/ThaiLeague/ฟุตบอลไทย/บอลไทย/COPA88,1,0,0,23/04/2022,10:37,positive
#thaileague,th,ข่าวกีฬา Thai League,@ThaiLeague168,2022-04-23 06:13:59+00:00,,"#ประมวลภาพ : ลีโอ เชียงราย ยูไนเต็ด พ่าย วิสเซล โกเบ 0-6 ในนัดที่ 2 ของ ศึกเอเอฟซี แชมเปียนส์ลีก 2022 กลุ่ม เจ
-----------------------------
#AFCChampionsLeague #ACL2022 #ACL #RevoThaileague #ThaiLeague #ฟุตบอลไทย #บอลไทย https://t.co/6dOUCDjMfi",/ประมวลภาพ/AFCChampionsLeague/ACL2022/ACL/RevoThaileague/ThaiLeague/ฟุตบอลไทย/บอลไทย,1,0,1,23/04/2022,06:13,negative
#thaileague,th,Changsuek,@Changsuek_TH,2022-04-23 05:05:42+00:00,Thailand,"#ไทยลีกฟันธง Matchday 28 ของศึก รีโว่ ไทยลีก

ติดตามชมวิเคราะห์ฟุตบอล รีโว่ ไทยลีก Matchday 28 ย้อนหลังได้ที่
https://t.co/tELVe2yPPb

#ช้างศึก #TogetherAsOne #Thaileague #RevoThaileague #T1 #Thaileague2021 #ไทยลีก #รีโว่ไทยลีก #บอลไทย #ฟุตบอลไทย #ไทยลีก2021 https://t.co/k6pvuGRNbQ",/ไทยลีกฟันธง/ช้างศึก/TogetherAsOne/Thaileague/RevoThaileague/T1/Thaileague2021/ไทยลีก/รีโว่ไทยลีก/บอลไทย/ฟุตบอลไทย/ไทยลีก2021,1,0,17,23/04/2022,05:05,positive
#thaileague,th,Thai League Thailand,@thaileague_th,2022-04-23 04:54:15+00:00,,"🔥 | อัพเดท !! ผลการแข่งขัน

🏆 | เอเอฟซี แชมเปี้ยนส์ลีก 2022 (รอบแบ่งกลุ่ม J)

⛔️ | วิสเซล โกเบ 🇯🇵 ชนะ เชียงราย ยูไนเต็ด 🇹🇭 (6-0)

#thaileague_th #LeoChiangraiUnited #CRUTD2022 #ACL2022 #ThaiLeague https://t.co/7yOspIydou",/thaileague_th/LeoChiangraiUnited/CRUTD2022/ACL2022/ThaiLeague,1,0,2,23/04/2022,04:54,positive
#thaileague,en,SNEsports,@SNE_Sports,2022-04-23 13:26:50+00:00,,"Thai League : Police Tero still danger after tied PT Prachuap 0-0

#ThaiLeague #POLFC #PTPrachuapFC
#SNESports
https://t.co/6O9hczcr87",/ThaiLeague/POLFC/PTPrachuapFC/SNESports,1,0,1,23/04/2022,13:26,negative
#thaileague,en,SNEsports,@SNE_Sports,2022-04-23 13:09:56+00:00,,"Results Thai League 1 2021/22 matchday 28

Keep follow : https://t.co/EtpAYcwcRG

#ThaiLeague
#SNESports https://t.co/9z7tRzTYNE",/ThaiLeague/SNESports,2,1,1,23/04/2022,13:09,neutral
#thaileague,en,SNEsports,@SNE_Sports,2022-04-23 12:59:18+00:00,,"Results Thai League 2021/22 Matchday 28

Police Tero FC 0-0 PT Prachuap FC

📷 : FA Thailand

Keep follow : https://t.co/EtpAYcwcRG

#ThaiLeague #POLFC #PTPrahcuapFC
#SNESports https://t.co/At1ObB13oG",/ThaiLeague/POLFC/PTPrahcuapFC/SNESports,1,0,0,23/04/2022,12:59,neutral
#thaileague,en,Ryan Walters,@MrRyanWalters,2022-04-23 12:28:37+00:00,Seoul,"Finished 0-0 here at Boonyachinda Stadium. 

Not the worst game I’ve seen, and definitely a fine way to spend the evening. 

Now for 🛵 madness!

#ThaiLeague | #KLUonTour https://t.co/XK4bFb2ogV",/ThaiLeague/KLUonTour,1,0,3,23/04/2022,12:28,positive
#thaileague,en,Ryan Walters,@MrRyanWalters,2022-04-23 11:23:22+00:00,Seoul,"HT | Police Tero 0-0 Prachuap

🌅 Forget the football, that sun setting is a massive victory for all of us here!

#ThaiLeague | #KLUonTour https://t.co/vcWxIL3T91",/ThaiLeague/KLUonTour,1,0,11,23/04/2022,11:23,negative
#thaileague,en,Ryan Walters,@MrRyanWalters,2022-04-23 10:32:47+00:00,Seoul,☀️ Hot as hell with concrete seats. This is the #ThaiLeague experience I am here for! https://t.co/TkeSTMYK9h,/ThaiLeague,1,0,15,23/04/2022,10:32,negative
