keyword,language,author,twitter_name,create_at,location,text,hashtag,tweets_count,retweet_count,favourite_count,date,time,sentiment
#thaileague,th,Thai League Thailand,@thaileague_th,2022-03-24 07:06:32+00:00,,"🔥 | สู้สนุก ! ช้างศึกU23 พ่ายกาตาร์ 0-1 ประเดิมดูไบ คัพ 2022

⚽️ | [32'] มุสตาฟา ทาเรค (1-0)

⌛️ | จบเกม : ทีมชาติไทย แพ้ ทีมชาติกาตาร์ (0-1)

#thaileague_th #Changsuek #DubaiCup #FAThailand #Thailand #ThaiLeague https://t.co/edGuVdXASa",/thaileague_th/Changsuek/DubaiCup/FAThailand/Thailand/ThaiLeague,1,0,0,24/03/2022,07:06,neutral
#thaileague,en,StraightOuttaBangkok,@Str8OuttaBKK,2022-03-24 08:40:03+00:00,Bangkok,"NEW VIDEO: #MatchdayVlog #ThaiLeague 🇹🇭 A trip north to see a new stadium, Nong Bua Pitchaya vs. @PortFC_Official https://t.co/CQR6IsaBtI  #Awaydays #groundhopping  #FootballVlog",/MatchdayVlog/ThaiLeague/Awaydays/groundhopping/FootballVlog,1,0,0,24/03/2022,08:40,neutral
